data[0] size (num: 29, frame: 62)
data[1] size (num: 29, frame: 62)
window_size: 20, threshold: 0.7
time:5.38143
( 1,  6) dt:(frame:  -23, time:-2.0184), st:(frame:    9, time:0.8431), r: 0.8571183
( 1,  6) dt:(frame:  -22, time:-1.9320), st:(frame:   10, time:0.9186), r: 0.8216473
( 1,  6) dt:(frame:  -21, time:-1.8496), st:(frame:   11, time:1.0041), r: 0.7203466
( 1,  6) dt:(frame:  -17, time:-1.5051), st:(frame:   25, time:2.2023), r: -0.7781854
( 1,  6) dt:(frame:  -16, time:-1.4187), st:(frame:   11, time:1.0041), r: 0.7555222
( 1,  6) dt:(frame:  -15, time:-1.3341), st:(frame:   12, time:1.0908), r: 0.7703347
( 1,  6) dt:(frame:  -14, time:-1.2535), st:(frame:   13, time:1.1738), r: 0.7512228
( 1,  6) dt:(frame:  -11, time:-1.0041), st:(frame:    7, time:0.6017), r: -0.7094816
( 1,  6) dt:(frame:   -6, time:-0.5192), st:(frame:   25, time:2.2023), r: -0.7442703
( 1,  6) dt:(frame:   -5, time:-0.4335), st:(frame:   25, time:2.2023), r: -0.7414556
( 1,  6) dt:(frame:   -4, time:-0.3456), st:(frame:    7, time:0.6017), r: -0.7130086
( 1,  6) dt:(frame:   -3, time:-0.2603), st:(frame:   10, time:0.9186), r: -0.7604391
( 1,  6) dt:(frame:   -2, time:-0.1723), st:(frame:   10, time:0.9186), r: -0.7838636
( 1,  6) dt:(frame:   -1, time:-0.0864), st:(frame:   10, time:0.9186), r: -0.7794787
( 1,  6) dt:(frame:    0, time:0.0000), st:(frame:   10, time:0.9186), r: -0.7678208
( 1,  6) dt:(frame:    1, time:0.0864), st:(frame:    0, time:-0.0864), r: -0.7607065
( 1,  6) dt:(frame:    2, time:0.1723), st:(frame:    9, time:0.6708), r: -0.7283708
( 1,  6) dt:(frame:    7, time:0.6017), st:(frame:   18, time:0.9840), r: 0.7582087
( 1,  6) dt:(frame:    9, time:0.8431), st:(frame:    4, time:-0.4975), r: -0.7032949
(1, 7): 
( 1,  7) dt:(frame:  -38, time:-3.3254), st:(frame:    0, time:0.0000), r: -0.8013296
( 1,  7) dt:(frame:  -37, time:-3.2436), st:(frame:    0, time:0.0000), r: -0.9067032
( 1,  7) dt:(frame:  -36, time:-3.1612), st:(frame:    0, time:0.0000), r: -0.9075118
( 1,  7) dt:(frame:  -35, time:-3.0795), st:(frame:    0, time:0.0000), r: -0.8037248
( 1,  7) dt:(frame:  -34, time:-2.9976), st:(frame:    0, time:0.0000), r: -0.7063310
( 1,  7) dt:(frame:  -27, time:-2.3792), st:(frame:   13, time:1.1738), r: -0.7346173
( 1,  7) dt:(frame:  -26, time:-2.2928), st:(frame:   13, time:1.1738), r: -0.7603421
( 1,  7) dt:(frame:  -25, time:-2.2023), st:(frame:    9, time:0.8431), r: -0.7750780
( 1,  7) dt:(frame:  -24, time:-2.1063), st:(frame:    9, time:0.8431), r: -0.7390955
( 1,  7) dt:(frame:  -21, time:-1.8496), st:(frame:    5, time:0.4335), r: -0.7082377
( 1,  7) dt:(frame:  -19, time:-1.6775), st:(frame:   22, time:1.9320), r: 0.7274672
( 1,  7) dt:(frame:  -18, time:-1.5857), st:(frame:   22, time:1.9320), r: 0.7452392
( 1,  7) dt:(frame:  -14, time:-1.2535), st:(frame:    0, time:0.0000), r: 0.7520791
( 1,  7) dt:(frame:  -13, time:-1.1738), st:(frame:    0, time:0.0000), r: 0.7732067
( 1,  7) dt:(frame:  -12, time:-1.0908), st:(frame:    0, time:0.0000), r: 0.7410501
( 1,  7) dt:(frame:   -6, time:-0.5192), st:(frame:   25, time:2.2023), r: 0.7422582
( 1,  7) dt:(frame:   -5, time:-0.4335), st:(frame:   26, time:2.2928), r: 0.7750721
( 1,  7) dt:(frame:   -4, time:-0.3456), st:(frame:   10, time:0.9186), r: 0.7446045
( 1,  7) dt:(frame:   -3, time:-0.2603), st:(frame:   10, time:0.9186), r: 0.8364217
( 1,  7) dt:(frame:   -2, time:-0.1723), st:(frame:   11, time:1.0041), r: 0.8738207
( 1,  7) dt:(frame:   -1, time:-0.0864), st:(frame:   11, time:1.0041), r: 0.8482748
( 1,  7) dt:(frame:    0, time:0.0000), st:(frame:   12, time:1.0908), r: 0.7663039
( 1,  7) dt:(frame:    1, time:0.0864), st:(frame:    4, time:0.2592), r: -0.7292410
( 1,  7) dt:(frame:    2, time:0.1723), st:(frame:    3, time:0.0879), r: -0.8276612
( 1,  7) dt:(frame:    3, time:0.2603), st:(frame:    3, time:0.0000), r: -0.8126250
